State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votesw,Runner-Up,Party,Votesr
Andaman & Nicobar,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,90969,Kuldeep Rai Sharma,INC,83157
Andhra Pradesh,7,Amlapuram,(SC),Dr Pandula Ravindra Babu,TDP,594547,Pinipe Viswarupu,YSRC,473971
Andhra Pradesh,5,Anakapalli,GEN,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463,Gudivada Amarnadh,YSRC,520531
Andhra Pradesh,19,Anantapur,GEN,J.C. Divakar Reddi,TDP,606509,Anantha Venkataramireddy,YSRC,545240
Andhra Pradesh,1,Araku,(ST),Kothapalli Geetha,YSRC,413191,Gummidi Sandhyarani,TDP,321793
Andhra Pradesh,15,Bapatla,(SC),Malyadri Sriram,TDP,578145,Varikuti Amruthapani,YSRC,545391
Andhra Pradesh,25,Chittoor,(SC),Naramalli Sivaprasad,TDP,594862,G.Samanyakiran,YSRC,550724
Andhra Pradesh,10,Eluru,GEN,Maganti Venkateswara Rao (Babu),TDP,623471,Thota Chandra Sekhar,YSRC,521545
Andhra Pradesh,13,Guntur,GEN,Jayadev Galla,TDP,618417,Balashowry Vallabhaneni,YSRC,549306
Andhra Pradesh,20,Hindupur,GEN,Kristappa Nimmala,TDP,604291,Duddukunta Sreedhar Reddy,YSRC,506966
Andhra Pradesh,21,Kadapa,GEN,Y.S. Avinash Reddy,YSRC,671983,Srinivasa Reddy Reddeppagari,TDP,481660
Andhra Pradesh,6,Kakinada,GEN,Thota Narasimham,TDP,514402,Chalamalasetty Sunil,YSRC,510971
Andhra Pradesh,18,Kurnool,GEN,Butta Renuka,YSRC,472782,B.T. Naidu,TDP,428651
Andhra Pradesh,11,Machilipatnam,GEN,Konakalla Narayana Rao,TDP,587280,Kolusu Partha Sarathy,YSRC,506223
Andhra Pradesh,17,Nandyal,GEN,S.P.Y Reddy,YSRC,622411,N.Md.Farook,TDP,516645
Andhra Pradesh,14,Narasaraopet,GEN,Sambasiva Rao Rayapati,TDP,632464,Ayodhya Ramireddy Alla,YSRC,597184
Andhra Pradesh,9,Narsapuram,GEN,Gokaraju Ganga Raju,BJP,540306,Vanka Ravindranath,YSRC,454955
Andhra Pradesh,22,Nellore,GEN,Mekapati Rajamohan Reddy,YSRC,576396,Adala Prabhakara Reddy,TDP,562918
Andhra Pradesh,16,Ongole,GEN,Y.V.Subba Reddy,YSRC,589960,Magunta Sreenivasulu Reddy,TDP,574302
Andhra Pradesh,8,Rajahmundry,GEN,Murali Mohan Maganti,TDP,630573,Boddu Venkataramana Chowdary,YSRC,463139
Andhra Pradesh,24,Rajampet,GEN,P.V.Midhun Reddy,YSRC,601752,D. Purandeswari,BJP,426990
Andhra Pradesh,2,Srikakulam,GEN,Rammohan Naidu Kinjarapu,TDP,556163,Reddy Shanthi,YSRC,428591
Andhra Pradesh,23,Tirupati,(SC),Varaprasad Rao Velagapalli,YSRC,580376,Karumanchi Jayaram,BJP,542951
Andhra Pradesh,12,Vijayawada,GEN,Kesineni Srinivas,TDP,592696,Koneru Rajendra Prasad,YSRC,517834
Andhra Pradesh,4,Visakhapatnam,GEN,Kambhampati Hari Babu,BJP,566832,Y.S Vijayamma,YSRC,476344
Andhra Pradesh,3,Vizianagaram,GEN,Ashok Gajapathi Raju Pusapati,TDP,536549,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,YSRC,429638
Arunachal Pradesh,2,Arunachal East,(ST),Ninong Ering,INC,118455,Tapir Gao,BJP,105977
Arunachal Pradesh,1,Arunachal West,(ST),Kiren Rijiju,BJP,169367,Takam Sanjoy,INC,127629
Assam,3,Autonomous District,(ST),Biren Singh Engti,INC,213152,Joy Ram Engleng,BJP,189057
Assam,6,Barpeta,GEN,Siraj Uddin Ajmal,AUDF,394702,Chandra Mohan Patowary,BJP,352361
Assam,4,Dhubri,GEN,Badruddin Ajmal,AUDF,592569,Wazed Ali Choudhury,INC,362839
Assam,13,Dibrugarh,(ST),Rameswar Teli,BJP,494364,Paban Singh Ghatowar,INC,309017
Assam,7,Guwahati,GEN,Smt. Bijoya Chakraborty,BJP,764985,Manash Borah,INC,449201
Assam,12,Jorhat,GEN,Kamakhya Prasad Tasa,BJP,456420,Bijoy Krishna Handique,INC,354000
Assam,11,Kaliabor,GEN,Gourav Gogoi,INC,443315,Mrinal Kumar Saikia,BJP,349441
Assam,1,Karimganj,(SC),Radheshyam Biswas,AUDF,362866,Krishna Das,BJP,260772
Assam,5,Kokrajhar,(ST),Naba Kumar Sarania (Hira),IND,634428,Urkhao Gwra Brahma,IND,278649
Assam,14,Lakhimpur,GEN,Sarbananda Sonowal,BJP,612543,Ranee Narah,INC,320405
Assam,8,Mangaldoi,GEN,Ramen Deka,BJP,486357,Kirip Chaliha,INC,463473
Assam,10,Nagaon,GEN,Rajen Gohain,BJP,494146,Jonjonali Baruah,INC,350587
Assam,2,Silchar,GEN,Sushmita Dev,INC,336451,Kabindra Purkayastha,BJP,301210
Assam,9,Tezpur,GEN,Ram Prasad Sarmah,BJP,446511,Bhupen Kumar Borah,INC,360491
Bihar,9,Araria,GEN,Tasleem Uddin,RJD,407978,Pradeep Kumar Singh,BJP,261474
Bihar,32,Arrah,GEN,Raj Kumar Singh,BJP,391074,Sribhagwan Singh Kushwaha,RJD,255204
Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,BJP,307941,Nikhil Kumar,INC,241594
Bihar,27,Banka,GEN,Jai Prakash Narayan Yadav,RJD,285150,Putul Kumari,BJP,275006
Bihar,24,Begusarai,GEN,Bhola Singh,BJP,428227,Md. Tanveer Hassan,RJD,369892
Bihar,26,Bhagalpur,GEN,Shailesh Kumar Urph Bulo Mandal,RJD,367623,Syed Shahnawaz Hussain,BJP,358138
Bihar,33,Buxar,GEN,Ashwini Kumar Choubey,BJP,319012,Jagadanand Singh,RJD,186674
Bihar,14,Darbhanga,GEN,Kirti Azad,BJP,314949,Md. Ali Ashraf Fatmi,RJD,279906
Bihar,38,Gaya,(SC),Hari Manjhi,BJP,326230,Ramji Manjhi,RJD,210726
Bihar,17,Gopalganj,(SC),Janak Ram,BJP,478773,Dr. Jyoti Bharti,INC,191837
Bihar,21,Hajipur,(SC),Ramvilas Paswan,LJP,455652,Sanjeev Prasad Toni,INC,230152
Bihar,36,Jahanabad,GEN,Dr. Arun Kumar,RLSP,322647,Surendra Prasad Yadav,RJD,280307
Bihar,40,Jamui,(SC),Chirag Kumar Paswan,LJP,285354,Sudhansu Shekhar Bhaskar,RJD,199407
Bihar,7,Jhanjharpur,GEN,Birendra Kumar Chaudhary,BJP,335481,Mangani Lal Mandal,RJD,280073
Bihar,35,Karakat,GEN,Upendra Kushwaha,RLSP,338892,Kanti Singh,RJD,233651
Bihar,11,Katihar,GEN,Tariq Anwar,NCP,431292,Nikhil Kumar Choudhary,BJP,316552
Bihar,25,Khagaria,GEN,Choudhary Mahboob Ali Kaiser,LJP,313806,Krishna Kumari Yadav,RJD,237803
Bihar,10,Kishanganj,GEN,Mohammad Asrarul Haque,INC,493461,Dr Dilip Kumar Jaiswal,BJP,298849
Bihar,13,Madhepura,GEN,Rajesh Ranjan (Pappu Yadav),RJD,368937,Sharad Yadav,JD(U),312728
Bihar,6,Madhubani,GEN,Hukm Deo Narayan Yadav,BJP,358040,Abdul Bari Siddiqui,RJD,337505
Bihar,19,Maharajganj,GEN,Janardan Singh (Sigriwal),BJP,320753,Prabhu Nath Singh,RJD,282338
Bihar,28,Munger,GEN,Veena Devi,LJP,352911,Rajiv Ranjan Singh Alias Lalan Singh,JD(U),243827
Bihar,15,Muzaffarpur,GEN,Ajay Nishad,BJP,469295,Akhilesh Prasad Singh,INC,246873
Bihar,29,Nalanda,GEN,Kaushlendra Kumar,JD(U),321982,Satya Nand Sharma,LJP,312355
Bihar,39,Nawada,GEN,Giriraj Singh,BJP,390248,Raj Ballabh Prasad,RJD,250091
Bihar,2,Pashchim Champaran,GEN,Dr. Sanjay Jaiswal,BJP,371232,Prakash Jha,JD(U),260978
Bihar,31,Pataliputra,GEN,Ram Kripal Yadav,BJP,383262,Misha Bharti,RJD,342940
Bihar,30,Patna Sahib,GEN,Shatrughana Sinha,BJP,485905,Kunal Singh,INC,220100
Bihar,3,Purba Champaran,GEN,Radha Mohan Singh,BJP,400452,Binod Kumar Srivastava,RJD,208289
Bihar,12,Purnia,GEN,Santosh Kumar,JD(U),418826,Uday Singh Alias Pappu Singh,BJP,302157
Bihar,23,Samastipur,(SC),Ram Chandra Paswan,LJP,270401,Dr. Ashok Kumar,INC,263529
Bihar,20,Saran (chhapra),GEN,Rajiv Pratap Rudy,BJP,355120,Rabri Devi,RJD,314172
Bihar,34,Sasaram,(SC),Chhedi Paswan,BJP,366087,Meira Kumar,INC,302760
Bihar,4,Sheohar,GEN,Rama Devi,BJP,372506,Md Anwarul Haque,RJD,236267
Bihar,5,Sitamarhi,GEN,Ram Kumar Sharma,RLSP,411265,Sitaram Yadav,RJD,263300
Bihar,18,Siwan,GEN,Om Prakash Yadav,BJP,372670,Hena Shahab,RJD,258823
Bihar,8,Supaul,GEN,Ranjeet Ranjan,INC,332927,Dileshwar Kamait,JD(U),273255
Bihar,22,Ujiapur,GEN,Nityanand Rai,BJP,317352,Alok Kumar Mehta,RJD,256883
Bihar,16,Vaishali,GEN,Rama Kishore Singh,LJP,305450,Raghuvansh Prasad Singh,RJD,206183
Bihar,1,Valmiki Nagar,GEN,Satish Chandra Dubey,BJP,364011,Purnmasi Ram,INC,246218
Chandigarh,1,Chandigarh,GEN,Smt. Kirron Kher Anupam,BJP,191362,Pawan Kumar Bansal,INC,121720
Chhattisgarh,10,Bastar,(ST),Dinesh Kashyap,BJP,385829,Deepak Karma (Bunty),INC,261470
Chhattisgarh,5,Bilaspur,GEN,Lakhan Lal Sahu,BJP,561387,Karuna Shukla,INC,384951
Chhattisgarh,7,Durg,GEN,Tamradhwaj Sahu,INC,570687,Saroj Pandey,BJP,553839
Chhattisgarh,3,Janjgir-Champa,(SC),Smt. Kamla Patle,BJP,518909,Prem Chand Jayasi,INC,343948
Chhattisgarh,11,Kanker,(ST),Vikram Dev Usendi,BJP,465215,Foolodevi Netam,INC,430057
Chhattisgarh,4,Korba,GEN,Dr. Banshilal Mahto,BJP,439002,Charan Das Mahant,INC,434737
Chhattisgarh,9,Mahasamund,GEN,Chandu Lal Sahu (Chandu Bhaiya),BJP,503514,Ajit Jogi,INC,502297
Chhattisgarh,2,Raigarh,(ST),Vishnu Deo Sai,BJP,662478,Arti Singh,INC,445728
Chhattisgarh,8,Raipur,GEN,Ramesh Bais,BJP,654922,Satya Narayan Sharma (Sattu Bhaiya),INC,483276
Chhattisgarh,6,Rajnandgaon,GEN,Abhishek Singh,BJP,643473,Kamleshwar Verma,INC,407562
Chhattisgarh,1,Surguja,(ST),Kamalbhan Singh Marabi,BJP,585336,Ram Dev Ram,INC,438100
Dadar & Nagar Haveli,1,Dadra & Nagar Haveli,(ST),Patel Natubhai Gomanbhai,BJP,80790,Delkar Mohanbhai Sanjibhai,INC,74576
Daman & diu,1,Daman & Diu,GEN,Patel Lalubhai Babubhai,BJP,46960,Ketan Dahyabhai Patel,INC,37738
Delhi,1,Chandni Chowk,GEN,Dr. Harsh Vardhan,BJP,437938,Ashutosh,AAP,301618
Delhi,3,East Delhi,GEN,Maheish Girri,BJP,572202,Rajmohan Gandhi,AAP,381739
Delhi,4,New Delhi,GEN,Smt. Meenakshi Lekhi,BJP,453350,Ashish Khetan,AAP,290642
Delhi,2,North East Delhi,GEN,Manoj Tiwari,BJP,596125,Anand Kumar,AAP,452041
Delhi,5,North West Delhi,(SC),Udit Raj,BJP,629860,Rakhi Birla,AAP,523058
Delhi,7,South Delhi,GEN,Ramesh Bidhuri,BJP,497980,Col Devinder Sehrawat,AAP,390980
Delhi,6,West Delhi,GEN,Parvesh Sahib Singh Verma,BJP,651395,Jarnail Singh,AAP,382809
Goa,1,North Goa,GEN,Shripad Yesso Naik,BJP,237903,Ravi Naik,INC,132304
Goa,2,South Goa,GEN,Adv. Narendra Keshav Sawaikar,BJP,198776,Aleixo Reginaldo Lourenco,INC,166446
Gujarat,7,Ahmadabad (East),GEN,Paresh Rawal,BJP,633582,Patel Himmatsingh Prahladsingh,INC,306949
Gujarat,8,Ahmadabad (West),(SC),Dr. Kirit P Solanki,BJP,617104,Ishwarbahi Dhanabhai Makwana,INC,296793
Gujarat,14,Amreli,GEN,Kachhadiya Naranbhai Bhikhabhai,BJP,436715,Thummar Virjibhai Keshavbhai (Virjibhai Thummar),INC,280483
Gujarat,16,Anand,GEN,Dilip Patel,BJP,490829,Solanki Bharatbhai Madhavsinh,INC,427403
Gujarat,2,Banas kantha,GEN,Chaudhary Haribhai Parthibhai,BJP,507856,Patel Joitabhai Kasnabhai,INC,305522
Gujarat,23,Bardoli,(ST),Vasava Parbhubhai Nagarbhai,BJP,622769,Chaudhari Tusharbhai Amarsinhbhai,INC,498885
Gujarat,22,Bharuch,GEN,Vasava Mansukhbhai Dhanjibhai,BJP,548902,Patel Jayeshbhai Ambalalbhai (Jayesh Kaka),INC,395629
Gujarat,15,Bhavnagar,GEN,Dr. Bharatiben Dhirubhai Shiyal,BJP,549529,Rathod Pravinbhai Jinabhai,INC,254041
Gujarat,21,Chhota Udaipur,(ST),Ramsinh Rathwa,BJP,607916,Naranbhai Jemalabhai Rathva,INC,428187
Gujarat,19,Dohad,(ST),Jasvantsinh Sumanbhai Bhabhor,BJP,511111,Taviyad Dr. Prabhaben Kishorsinh,INC,280757
Gujarat,6,Gandhinagar,GEN,L.K.Advani,BJP,773539,Kiritbhai Ishvarbhai Patel,INC,290418
Gujarat,12,Jamnagar,GEN,Poonamben Hematbhai Maadam,BJP,484412,Ahir Vikrambhai Arjanbhai Madam,INC,309123
Gujarat,13,Junagadh,GEN,Chudasama Rajeshbhai Naranbhai,BJP,513179,Punjabhai Bhimabhai Vansh,INC,377347
Gujarat,1,Kachchh,(SC),Chavda Vinod Lakhamashi,BJP,562855,Dr.Dinesh Parmar,INC,308373
Gujarat,17,Kheda,GEN,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),BJP,568235,Dinsha Patel,INC,335334
Gujarat,4,Mahesana,GEN,Patel Jayshreeben Kanubhai,BJP,580250,Patel Jivabhai Ambalal,INC,371359
Gujarat,25,Navsari,GEN,C. R. Patil,BJP,820831,Maksud Mirza,INC,262715
Gujarat,18,Panch mahals,GEN,Chauhan Prabhatsinh Pratapsinh,BJP,508274,Ramsinh Parmar,INC,337678
Gujarat,3,Patan,GEN,Liladharbhai Khodaji Vaghela,BJP,518538,Rathod Bhavsinhbhai Dahyabhai,INC,379819
Gujarat,11,Porbandar,GEN,Radadiya Vithalbhai Hansrajbhai,BJP,508437,Jadeja Kandhalbhai Sarmanbhai,NCP,240466
Gujarat,10,Rajkot,GEN,Kundariya Mohanbhai Kalyanjibhai,BJP,621524,Kunvarjibhai Mohanbhai Bavaliya,INC,375096
Gujarat,5,Sabar kantha,GEN,Rathod Dipsinh Shankarsinh,BJP,552205,Shankersinh Vaghela Bapu,INC,467750
Gujarat,24,Surat,GEN,Jardosh Darshnaben Vikrambhai,BJP,718412,Desai Naishadhbhai Bhupatbhai,INC,185222
Gujarat,9,Surendranagar,GEN,Fatepara Devajibhai Govindbhai,BJP,529003,Koli Patel Somabhai Gandalal,INC,326096
Gujarat,20,Vadodara,GEN,Ranjanaben Dhananjay Bhatt,BJP,526763,Narendra Ravat,INC,197256
Gujarat,26,Valsad,(ST),Dr. K.C.Patel,BJP,617772,Kishanbhai Vestabhai Patel,INC,409768
Haryana,1,Ambala,(SC),Rattan Lal Kataria,BJP,612121,Raj Kumar Balmiki,INC,272047
Haryana,8,Bhiwani - Mahendragarh,GEN,Dharambir S/O Bhale Ram,BJP,404542,Bahadur Singh,INLD,275148
Haryana,10,Faridabad,GEN,Krishan Pal,BJP,652516,Avtar Singh Bhadana,INC,185643
Haryana,9,Gurgaon,GEN,Inderjit Singh Rao,BJP,644780,Zakir Hussain,INLD,370058
Haryana,4,Hisar,GEN,Dushyant Chautala,INLD,494478,Kuldeep Bishnoi,HJC (BL),462631
Haryana,5,Karnal,GEN,Ashwini Kumar,BJP,594817,Arvind Kumar Sharma,INC,234670
Haryana,2,Krukshetra,GEN,Raj Kumar Saini,BJP,418112,Balbir Singh Saini,INLD,288376
Haryana,7,Rohtak,GEN,Deepender Singh Hooda,INC,490063,Om Parkash Dhankar,BJP,319436
Haryana,3,Sirsa,(SC),Charanjeet Singh Rori,INLD,506370,Ashok Tanwar,INC,390634
Haryana,6,Sonipat,GEN,Ramesh Chander,BJP,347203,Jagbir Singh Malik,INC,269789
Himachal Pradesh,3,Hamirpur,GEN,Anurag Singh Thakur,BJP,448035,Rajinder Singh Rana,INC,349632
Himachal Pradesh,1,Kangra,GEN,Shanta Kumar,BJP,456163,Chander Kumar,INC,286091
Himachal Pradesh,2,Mandi,GEN,Ram Swaroop Sharma,BJP,362824,Pratibha Singh,INC,322968
Himachal Pradesh,4,Shimla,(SC),Virender Kashyap,BJP,385973,Mohan Lal Brakta,INC,301786
Jammu & Kashmir,3,Anantnag,GEN,Mehbooba Mufti,PDP,200429,Mirza Mehboob Beg,JKNPP,135012
Jammu & Kashmir,1,Baramula,GEN,Muzaffar Hussain Baig,PDP,175277,Sharief Ud-Din Shariq,JKNPP,146058
Jammu & Kashmir,6,Jammu,GEN,Jugal Kishore,BJP,619995,Madan Lal Sharma,INC,362715
Jammu & Kashmir,4,Leh (Ladakh),(ST),Thupstan Chhewang,BJP,31111,Ghulam Raza,IND,31075
Jammu & Kashmir,2,Srinagar,GEN,Tariq Hameed Karra,PDP,157923,Farooq Abdullah,JKNPP,115643
Jammu & Kashmir,5,Udhampur,GEN,Dr. Jitendra Singh,BJP,487369,Ghulam Nabi Azad,INC,426393
Jharkhand,4,Chatra,GEN,Sunil Kumar Singh,BJP,295862,Dhiraj Prasad Sahu,INC,117836
Jharkhand,7,Dhanbad,GEN,Pashupati Nath Singh,BJP,543491,Ajay Kumar Dubey,INC,250537
Jharkhand,2,Dumka,(ST),Shibu Soren,JMM,335815,Sunil Soren,BJP,296785
Jharkhand,6,Giridih,GEN,Ravindra Kumar Pandey,BJP,391913,Jagarnath Mahto,JMM,351600
Jharkhand,3,Godda,GEN,Nishikant Dubey,BJP,380500,Furkan Ansari,INC,319818
Jharkhand,14,Hazaribagh,GEN,Jayant Sinha,BJP,406931,Saurabh Narain Singh,INC,247803
Jharkhand,9,Jamshedpur,GEN,Bidyut Baran Mahato,BJP,464153,Ajay Kumar,JVM(P),364277
Jharkhand,11,Khunti,(ST),Karia Munda,BJP,269185,Anosh Ekka,JKP,176937
Jharkhand,5,Kodarma,GEN,Ravindra Kr. Ray,BJP,365410,Rajkumar Yadav,CPI(ML)(L),266756
Jharkhand,12,Lohardaga,(ST),Sudarshan Bhagat,BJP,226666,Rameshwar Oraon,INC,220177
Jharkhand,13,Palamu,(SC),Vishnu Dayal Ram,BJP,476513,Manoj Kumar,RJD,212571
Jharkhand,1,Rajmahal,(ST),Vijay Kumar Hansdak,JMM,379507,Hemlal Murmu,BJP,338170
Jharkhand,8,Ranchi,GEN,Ram Tahal Choudhary,BJP,448729,Subodh Kant Sahay,INC,249426
Jharkhand,10,Singhbhum,(SC),Laxman Giluwa,BJP,303131,Geeta Kora,JBSP,215607
Karnataka,3,Bagalkot,GEN,Gaddigoudar Parvtagouda Chandanagouda,BJP,571548,Ajay Kumar Sarnaik,INC,454988
Karnataka,25,Bangalore Central,GEN,P.C. Mohan,BJP,557130,Rizwan Arshad,INC,419630
Karnataka,24,Bangalore North,GEN,D.V Sadananda Gowda,BJP,718326,C.Narayana Swamy,INC,488562
Karnataka,23,Bangalore Rural,GEN,D K Suresh,INC,652723,Muniraju Gowda . P,BJP,421243
Karnataka,26,Bangalore South,GEN,Ananth Kumar,BJP,633816,Nandan Nilekani,INC,405241
Karnataka,2,Belgaum,GEN,Angadi Suresh Channabasappa,BJP,554417,Laxmi R. Hebbalkar,INC,478557
Karnataka,9,Bellary,(ST),B. Sreeramulu,BJP,534406,N.Y. Hanumantappa,INC,449262
Karnataka,7,Bidar,GEN,Bhagwanth Khuba,BJP,459290,N. Dharam Singh,INC,367068
Karnataka,4,Bijapur,(SC),Ramesh Jigajinagi,BJP,471757,Prakash Rathod,INC,401938
Karnataka,22,Chamrajnagar,(SC),R. Dhruvanarayana,INC,567782,A. R. Krishna Murthy,BJP,426600
Karnataka,27,Chikkaballapura,GEN,M Veerappa Moily,INC,424800,B N Bache Gowda,BJP,415280
Karnataka,1,Chikkodi,GEN,Prakash Babanna Hukkeri,INC,474373,Katti Ramesh Vishwanath,BJP,471370
Karnataka,18,Chitradurga,(SC),B.N.Chandrappa,INC,467511,Janardhana Swamy,BJP,366220
Karnataka,17,Dakshina Kannada,GEN,Nalin Kumar Kateel,BJP,642739,Janardhana Poojary,INC,499030
